,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,동작구,상도1동,  20 ,  3 ,  6 ,  2 ,  3 ,  1 ,  1 ,  4 ,  - 
서울특별시,동작구,상도동,  160 ,  29 ,  30 ,  16 ,  17 ,  6 ,  15 ,  42 ,  5 
서울특별시,동작구,신대방동,  53 ,  8 ,  7 ,  5 ,  8 ,  3 ,  5 ,  11 ,  6 
서울특별시,동작구,흑석동,  83 ,  13 ,  9 ,  5 ,  17 ,  7 ,  7 ,  20 ,  5 
서울특별시,마포구,공덕동,  32 ,  1 ,  4 ,  3 ,  3 ,  - ,  1 ,  11 ,  9 
서울특별시,마포구,구수동,  2 ,  - ,  - ,  1 ,  - ,  1 ,  - ,  - ,  - 
서울특별시,마포구,노고산동,  17 ,  3 ,  - ,  1 ,  2 ,  3 ,  - ,  8 ,  - 
서울특별시,마포구,당인동,  2 ,  - ,  - ,  1 ,  1 ,  - ,  - ,  - ,  - 
서울특별시,마포구,대흥동,  25 ,  2 ,  4 ,  4 ,  5 ,  3 ,  1 ,  5 ,  1 
서울특별시,마포구,도화동,  12 ,  2 ,  2 ,  1 ,  3 ,  - ,  - ,  3 ,  1 
서울특별시,마포구,동교동,  10 ,  2 ,  - ,  1 ,  4 ,  - ,  - ,  3 ,  - 
서울특별시,마포구,마포동,  6 ,  1 ,  1 ,  1 ,  - ,  1 ,  1 ,  1 ,  - 
서울특별시,마포구,망원동,  43 ,  9 ,  8 ,  - ,  7 ,  2 ,  5 ,  9 ,  3 
서울특별시,마포구,상수동,  29 ,  5 ,  1 ,  2 ,  3 ,  - ,  6 ,  10 ,  2 
서울특별시,마포구,상암동,  44 ,  29 ,  12 ,  1 ,  - ,  1 ,  - ,  - ,  1 
서울특별시,마포구,서교동,  42 ,  4 ,  5 ,  4 ,  10 ,  5 ,  3 ,  5 ,  6 
서울특별시,마포구,성산동,  77 ,  16 ,  22 ,  7 ,  6 ,  4 ,  2 ,  13 ,  7 
서울특별시,마포구,신공덕동,  5 ,  2 ,  1 ,  1 ,  - ,  - ,  - ,  1 ,  - 
서울특별시,마포구,신수동,  54 ,  12 ,  2 ,  9 ,  3 ,  2 ,  4 ,  15 ,  7 
서울특별시,마포구,신정동,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,아현동,  53 ,  12 ,  1 ,  2 ,  4 ,  - ,  1 ,  12 ,  21 
서울특별시,마포구,연남동,  31 ,  5 ,  2 ,  2 ,  4 ,  2 ,  1 ,  15 ,  - 
서울특별시,마포구,염리동,  32 ,  1 ,  3 ,  4 ,  2 ,  3 ,  2 ,  11 ,  6 
서울특별시,마포구,용강동,  7 ,  3 ,  1 ,  1 ,  - ,  - ,  - ,  2 ,  - 
서울특별시,마포구,중동,  9 ,  - ,  - ,  1 ,  - ,  2 ,  2 ,  1 ,  3 
서울특별시,마포구,창전동,  22 ,  5 ,  6 ,  1 ,  4 ,  3 ,  1 ,  - ,  2 
서울특별시,마포구,토정동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,하중동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,합정동,  30 ,  6 ,  3 ,  4 ,  2 ,  2 ,  2 ,  6 ,  5 
서울특별시,마포구,현석동,  3 ,  2 ,  - ,  1 ,  - ,  - ,  - ,  - ,  - 
서울특별시,서대문구,남가좌동,  45 ,  7 ,  7 ,  8 ,  8 ,  2 ,  5 ,  7 ,  1 
서울특별시,서대문구,냉천동,  12 ,  1 ,  3 ,  2 ,  - ,  - ,  2 ,  4 ,  - 
서울특별시,서대문구,대신동,  20 ,  2 ,  3 ,  3 ,  1 ,  2 ,  1 ,  8 ,  - 
서울특별시,서대문구,대현동,  70 ,  10 ,  9 ,  11 ,  6 ,  2 ,  8 ,  23 ,  1 
서울특별시,서대문구,미근동,  3 ,  1 ,  - ,  1 ,  - ,  1 ,  - ,  - ,  - 
서울특별시,서대문구,봉원동,  2 ,  - ,  - ,  - ,  1 ,  - ,  1 ,  - ,  - 
서울특별시,서대문구,북가좌동,  45 ,  11 ,  6 ,  1 ,  7 ,  2 ,  3 ,  15 ,  - 
서울특별시,서대문구,북아현동,  51 ,  11 ,  5 ,  2 ,  6 ,  5 ,  2 ,  19 ,  1 
서울특별시,서대문구,신촌동,  91 ,  19 ,  2 ,  12 ,  11 ,  3 ,  5 ,  32 ,  7 
