습도,날짜,자치구
47.70833333,20150113,도봉구
46.08333333,20150114,도봉구
65.66666667,20150115,도봉구
66.54166667,20150116,도봉구
46.66666667,20150117,도봉구
75.625,20150118,도봉구
65.95833333,20150119,도봉구
60.91666667,20150120,도봉구
64.08333333,20150121,도봉구
69.375,20150122,도봉구
67.875,20150123,도봉구
70.125,20150124,도봉구
86.41666667,20150125,도봉구
79.95833333,20150126,도봉구
51.08333333,20150127,도봉구
57.66666667,20150128,도봉구
59.95833333,20150129,도봉구
52.04166667,20150130,도봉구
48.5,20150131,도봉구
49.66666667,20150101,노원구
48.16666667,20150102,노원구
62.79166667,20150103,노원구
80.91666667,20150104,노원구
74.875,20150105,노원구
39.08333333,20150106,노원구
40.83333333,20150107,노원구
54.5,20150108,노원구
55.58333333,20150109,노원구
65.66666667,20150110,노원구
49.08333333,20150111,노원구
48.16666667,20150112,노원구
47.70833333,20150113,노원구
46.08333333,20150114,노원구
65.66666667,20150115,노원구
66.54166667,20150116,노원구
46.66666667,20150117,노원구
75.625,20150118,노원구
65.95833333,20150119,노원구
60.91666667,20150120,노원구
64.08333333,20150121,노원구
69.375,20150122,노원구
67.875,20150123,노원구
70.125,20150124,노원구
86.41666667,20150125,노원구
79.95833333,20150126,노원구
51.08333333,20150127,노원구
57.66666667,20150128,노원구
59.95833333,20150129,노원구
52.04166667,20150130,노원구
48.5,20150131,노원구
51.16666667,20150101,은평구
49.41666667,20150102,은평구
62.33333333,20150103,은평구
78.95833333,20150104,은평구
73.41666667,20150105,은평구
41.58333333,20150106,은평구
43.0,20150107,은평구
53.08333333,20150108,은평구
58.83333333,20150109,은평구
67.16666667,20150110,은평구
50.29166667,20150111,은평구
45.58333333,20150112,은평구
43.91666667,20150113,은평구
47.41666667,20150114,은평구
67.45833333,20150115,은평구
69.33333333,20150116,은평구
47.875,20150117,은평구
77.95833333,20150118,은평구
66.83333333,20150119,은평구
58.91666667,20150120,은평구
66.41666667,20150121,은평구
68.125,20150122,은평구
69.125,20150123,은평구
69.20833333,20150124,은평구
84.75,20150125,은평구
79.375,20150126,은평구
52.79166667,20150127,은평구
57.41666667,20150128,은평구
62.25,20150129,은평구
53.125,20150130,은평구
50.95833333,20150131,은평구
47.66666667,20150101,서대문구
45.79166667,20150102,서대문구
59.58333333,20150103,서대문구
77.83333333,20150104,서대문구
72.0,20150105,서대문구
38.41666667,20150106,서대문구
37.875,20150107,서대문구
49.20833333,20150108,서대문구
54.08333333,20150109,서대문구
64.0,20150110,서대문구
47.58333333,20150111,서대문구
40.83333333,20150112,서대문구
37.91666667,20150113,서대문구
41.33333333,20150114,서대문구
62.70833333,20150115,서대문구
66.41666667,20150116,서대문구
43.16666667,20150117,서대문구
77.75,20150118,서대문구
64.83333333,20150119,서대문구
53.20833333,20150120,서대문구
60.20833333,20150121,서대문구
62.66666667,20150122,서대문구
63.91666667,20150123,서대문구
64.79166667,20150124,서대문구
86.0,20150125,서대문구
79.08333333,20150126,서대문구
50.20833333,20150127,서대문구
51.5,20150128,서대문구
56.70833333,20150129,서대문구
49.75,20150130,서대문구
47.20833333,20150131,서대문구
48.875,20150101,마포구
46.08333333,20150102,마포구
58.91666667,20150103,마포구
75.95833333,20150104,마포구
70.66666667,20150105,마포구
40.20833333,20150106,마포구
39.41666667,20150107,마포구
50.54166667,20150108,마포구
55.83333333,20150109,마포구
61.20833333,20150110,마포구
48.29166667,20150111,마포구
42.95833333,20150112,마포구
46.33333333,20150113,마포구
44.54166667,20150114,마포구
64.66666667,20150115,마포구
63.375,20150116,마포구
46.33333333,20150117,마포구
72.41666667,20150118,마포구
61.91666667,20150119,마포구
56.08333333,20150120,마포구
60.25,20150121,마포구
65.25,20150122,마포구
61.91666667,20150123,마포구
66.29166667,20150124,마포구
84.08333333,20150125,마포구
75.625,20150126,마포구
49.125,20150127,마포구
53.16666667,20150128,마포구
57.25,20150129,마포구
49.625,20150130,마포구
48.41666667,20150131,마포구
49.08333333,20150101,양천구
47.375,20150102,양천구
61.04166667,20150103,양천구
76.79166667,20150104,양천구
71.625,20150105,양천구
38.95833333,20150106,양천구
40.70833333,20150107,양천구
52.625,20150108,양천구
57.875,20150109,양천구
65.08333333,20150110,양천구
47.375,20150111,양천구
45.0,20150112,양천구
44.125,20150113,양천구
47.45833333,20150114,양천구
67.54166667,20150115,양천구
67.5,20150116,양천구
46.41666667,20150117,양천구
75.66666667,20150118,양천구
65.08333333,20150119,양천구
58.08333333,20150120,양천구
65.75,20150121,양천구
67.54166667,20150122,양천구
68.375,20150123,양천구
67.58333333,20150124,양천구
84.5,20150125,양천구
78.0,20150126,양천구
49.45833333,20150127,양천구
55.41666667,20150128,양천구
61.45833333,20150129,양천구
49.70833333,20150130,양천구
48.375,20150131,양천구
49.08333333,20150101,강서구
47.375,20150102,강서구
61.04166667,20150103,강서구
76.79166667,20150104,강서구
71.625,20150105,강서구
38.95833333,20150106,강서구
40.70833333,20150107,강서구
52.625,20150108,강서구
57.875,20150109,강서구
65.08333333,20150110,강서구
47.375,20150111,강서구
45.0,20150112,강서구
44.125,20150113,강서구
47.45833333,20150114,강서구
67.54166667,20150115,강서구
67.5,20150116,강서구
46.41666667,20150117,강서구
75.66666667,20150118,강서구
65.08333333,20150119,강서구
58.08333333,20150120,강서구
65.75,20150121,강서구
67.54166667,20150122,강서구
68.375,20150123,강서구
67.58333333,20150124,강서구
84.5,20150125,강서구
78.0,20150126,강서구
49.45833333,20150127,강서구
55.41666667,20150128,강서구
61.45833333,20150129,강서구
49.70833333,20150130,강서구
48.375,20150131,강서구
48.0,20150101,구로구
46.58333333,20150102,구로구
60.625,20150103,구로구
76.75,20150104,구로구
70.16666667,20150105,구로구
37.5,20150106,구로구
40.0,20150107,구로구
53.33333333,20150108,구로구
58.41666667,20150109,구로구
64.16666667,20150110,구로구
46.33333333,20150111,구로구
45.66666667,20150112,구로구
44.25,20150113,구로구
46.95833333,20150114,구로구
67.125,20150115,구로구
67.58333333,20150116,구로구
47.20833333,20150117,구로구
75.20833333,20150118,구로구
64.41666667,20150119,구로구
57.91666667,20150120,구로구
64.70833333,20150121,구로구
67.83333333,20150122,구로구
68.70833333,20150123,구로구
67.375,20150124,구로구
83.20833333,20150125,구로구
77.75,20150126,구로구
47.625,20150127,구로구
54.5,20150128,구로구
61.16666667,20150129,구로구
48.66666667,20150130,구로구
47.66666667,20150131,구로구
48.0,20150101,금천구
46.58333333,20150102,금천구
60.625,20150103,금천구
76.75,20150104,금천구
70.16666667,20150105,금천구
37.5,20150106,금천구
40.0,20150107,금천구
53.33333333,20150108,금천구
58.41666667,20150109,금천구
64.16666667,20150110,금천구
46.33333333,20150111,금천구
45.66666667,20150112,금천구
44.25,20150113,금천구
46.95833333,20150114,금천구
67.125,20150115,금천구
67.58333333,20150116,금천구
47.20833333,20150117,금천구
75.20833333,20150118,금천구
64.41666667,20150119,금천구
57.91666667,20150120,금천구
64.70833333,20150121,금천구
67.83333333,20150122,금천구
68.70833333,20150123,금천구
67.375,20150124,금천구
83.20833333,20150125,금천구
77.75,20150126,금천구
47.625,20150127,금천구
54.5,20150128,금천구
61.16666667,20150129,금천구
48.66666667,20150130,금천구
47.66666667,20150131,금천구
48.875,20150101,영등포구
46.08333333,20150102,영등포구
58.91666667,20150103,영등포구
75.95833333,20150104,영등포구
70.66666667,20150105,영등포구
40.20833333,20150106,영등포구
39.41666667,20150107,영등포구
50.54166667,20150108,영등포구
55.83333333,20150109,영등포구
61.20833333,20150110,영등포구
48.29166667,20150111,영등포구
42.95833333,20150112,영등포구
46.33333333,20150113,영등포구
44.54166667,20150114,영등포구
64.66666667,20150115,영등포구
63.375,20150116,영등포구
46.33333333,20150117,영등포구
72.41666667,20150118,영등포구
61.91666667,20150119,영등포구
56.08333333,20150120,영등포구
60.25,20150121,영등포구
65.25,20150122,영등포구
61.91666667,20150123,영등포구
66.29166667,20150124,영등포구
84.08333333,20150125,영등포구
75.625,20150126,영등포구
49.125,20150127,영등포구
53.16666667,20150128,영등포구
57.25,20150129,영등포구
49.625,20150130,영등포구
48.41666667,20150131,영등포구
40.875,20150101,동작구
39.41666667,20150102,동작구
53.875,20150103,동작구
70.625,20150104,동작구
66.16666667,20150105,동작구
33.33333333,20150106,동작구
32.66666667,20150107,동작구
47.41666667,20150108,동작구
48.45833333,20150109,동작구
58.04166667,20150110,동작구
39.29166667,20150111,동작구
36.70833333,20150112,동작구
34.83333333,20150113,동작구
34.83333333,20150114,동작구
60.83333333,20150115,동작구
59.25,20150116,동작구
40.79166667,20150117,동작구
71.54166667,20150118,동작구
55.5,20150119,동작구
48.58333333,20150120,동작구
51.16666667,20150121,동작구
57.91666667,20150122,동작구
59.70833333,20150123,동작구
58.375,20150124,동작구
81.91666667,20150125,동작구
70.29166667,20150126,동작구
41.875,20150127,동작구
46.25,20150128,동작구
48.54166667,20150129,동작구
41.79166667,20150130,동작구
40.29166667,20150131,동작구
40.875,20150101,관악구
39.41666667,20150102,관악구
53.875,20150103,관악구
70.625,20150104,관악구
66.16666667,20150105,관악구
33.33333333,20150106,관악구
32.66666667,20150107,관악구
47.41666667,20150108,관악구
48.45833333,20150109,관악구
58.04166667,20150110,관악구
39.29166667,20150111,관악구
36.70833333,20150112,관악구
34.83333333,20150113,관악구
34.83333333,20150114,관악구
60.83333333,20150115,관악구
59.25,20150116,관악구
40.79166667,20150117,관악구
71.54166667,20150118,관악구
55.5,20150119,관악구
48.58333333,20150120,관악구
51.16666667,20150121,관악구
57.91666667,20150122,관악구
59.70833333,20150123,관악구
58.375,20150124,관악구
81.91666667,20150125,관악구
70.29166667,20150126,관악구
41.875,20150127,관악구
46.25,20150128,관악구
48.54166667,20150129,관악구
41.79166667,20150130,관악구
40.29166667,20150131,관악구
44.58333333,20150101,서초구
43.04166667,20150102,서초구
57.0,20150103,서초구
73.20833333,20150104,서초구
69.54166667,20150105,서초구
35.58333333,20150106,서초구
33.625,20150107,서초구
46.5,20150108,서초구
52.125,20150109,서초구
61.45833333,20150110,서초구
43.5,20150111,서초구
40.95833333,20150112,서초구
39.29166667,20150113,서초구
38.54166667,20150114,서초구
59.625,20150115,서초구
63.0,20150116,서초구
45.16666667,20150117,서초구
73.29166667,20150118,서초구
59.41666667,20150119,서초구
51.91666667,20150120,서초구
55.41666667,20150121,서초구
58.29166667,20150122,서초구
62.0,20150123,서초구
62.91666667,20150124,서초구
85.875,20150125,서초구
75.83333333,20150126,서초구
46.25,20150127,서초구
51.0,20150128,서초구
53.33333333,20150129,서초구
45.66666667,20150130,서초구
43.08333333,20150131,서초구
44.58333333,20150101,강남구
43.04166667,20150102,강남구
57.0,20150103,강남구
73.20833333,20150104,강남구
69.54166667,20150105,강남구
35.58333333,20150106,강남구
33.625,20150107,강남구
46.5,20150108,강남구
52.125,20150109,강남구
61.45833333,20150110,강남구
43.5,20150111,강남구
40.95833333,20150112,강남구
39.29166667,20150113,강남구
38.54166667,20150114,강남구
59.625,20150115,강남구
63.0,20150116,강남구
45.16666667,20150117,강남구
73.29166667,20150118,강남구
59.41666667,20150119,강남구
51.91666667,20150120,강남구
55.41666667,20150121,강남구
58.29166667,20150122,강남구
62.0,20150123,강남구
62.91666667,20150124,강남구
85.875,20150125,강남구
75.83333333,20150126,강남구
46.25,20150127,강남구
51.0,20150128,강남구
53.33333333,20150129,강남구
45.66666667,20150130,강남구
43.08333333,20150131,강남구
43.41666667,20150101,송파구
43.20833333,20150102,송파구
56.54166667,20150103,송파구
73.54166667,20150104,송파구
68.04166667,20150105,송파구
33.125,20150106,송파구
35.58333333,20150107,송파구
47.79166667,20150108,송파구
53.0,20150109,송파구
60.91666667,20150110,송파구
42.66666667,20150111,송파구
42.33333333,20150112,송파구
40.41666667,20150113,송파구
39.08333333,20150114,송파구
59.33333333,20150115,송파구
61.58333333,20150116,송파구
43.375,20150117,송파구
71.79166667,20150118,송파구
59.75,20150119,송파구
51.95833333,20150120,송파구
57.70833333,20150121,송파구
60.33333333,20150122,송파구
63.83333333,20150123,송파구
63.25,20150124,송파구
82.0,20150125,송파구
73.625,20150126,송파구
45.20833333,20150127,송파구
51.29166667,20150128,송파구
52.91666667,20150129,송파구
45.08333333,20150130,송파구
42.54166667,20150131,송파구
47.58333333,20150101,강동구
47.70833333,20150102,강동구
57.54166667,20150103,강동구
78.41666667,20150104,강동구
73.83333333,20150105,강동구
39.04166667,20150106,강동구
44.29166667,20150107,강동구
55.375,20150108,강동구
62.75,20150109,강동구
63.625,20150110,강동구
46.91666667,20150111,강동구
49.91666667,20150112,강동구
48.16666667,20150113,강동구
44.25,20150114,강동구
62.95833333,20150115,강동구
65.33333333,20150116,강동구
50.79166667,20150117,강동구
75.45833333,20150118,강동구
65.79166667,20150119,강동구
59.79166667,20150120,강동구
64.45833333,20150121,강동구
