,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,동대문구,신설동,  26 ,  1 ,  4 ,  3 ,  2 ,  1 ,  1 ,  13 ,  1 
서울특별시,동대문구,용두동,  34 ,  4 ,  5 ,  4 ,  4 ,  5 ,  4 ,  7 ,  1 
서울특별시,동대문구,이문동,  67 ,  10 ,  15 ,  9 ,  10 ,  5 ,  2 ,  16 ,  - 
서울특별시,동대문구,장안동,  89 ,  15 ,  12 ,  10 ,  7 ,  13 ,  16 ,  15 ,  1 
서울특별시,동대문구,전농동,  107 ,  22 ,  10 ,  11 ,  5 ,  8 ,  3 ,  30 ,  18 
서울특별시,동대문구,제기동,  47 ,  7 ,  8 ,  7 ,  3 ,  2 ,  2 ,  15 ,  3 
서울특별시,동대문구,청량리동,  75 ,  4 ,  5 ,  12 ,  18 ,  7 ,  6 ,  15 ,  8 
서울특별시,동대문구,회기동,  94 ,  8 ,  18 ,  12 ,  13 ,  3 ,  9 ,  25 ,  6 
서울특별시,동대문구,휘경동,  62 ,  12 ,  12 ,  7 ,  6 ,  8 ,  5 ,  10 ,  2 
서울특별시,동작구,노량진동,  90 ,  9 ,  13 ,  20 ,  11 ,  13 ,  5 ,  17 ,  2 
서울특별시,동작구,대방동,  90 ,  9 ,  4 ,  9 ,  33 ,  8 ,  4 ,  10 ,  13 
서울특별시,동작구,동작동,  29 ,  8 ,  9 ,  - ,  2 ,  2 ,  3 ,  2 ,  3 
서울특별시,동작구,본동,  19 ,  1 ,  2 ,  2 ,  2 ,  3 ,  2 ,  4 ,  3 
서울특별시,동작구,사당동,  108 ,  18 ,  14 ,  15 ,  21 ,  7 ,  8 ,  22 ,  3 
서울특별시,동작구,상도1동,  21 ,  2 ,  3 ,  6 ,  - ,  4 ,  1 ,  4 ,  1 
서울특별시,동작구,상도동,  159 ,  27 ,  20 ,  21 ,  22 ,  7 ,  15 ,  42 ,  5 
서울특별시,동작구,신대방동,  56 ,  6 ,  8 ,  6 ,  9 ,  3 ,  6 ,  12 ,  6 
서울특별시,동작구,흑석동,  77 ,  13 ,  6 ,  4 ,  11 ,  10 ,  8 ,  20 ,  5 
서울특별시,마포구,공덕동,  32 ,  1 ,  3 ,  1 ,  4 ,  2 ,  1 ,  11 ,  9 
서울특별시,마포구,구수동,  2 ,  - ,  - ,  - ,  1 ,  1 ,  - ,  - ,  - 
서울특별시,마포구,노고산동,  17 ,  2 ,  1 ,  1 ,  1 ,  3 ,  1 ,  8 ,  - 
서울특별시,마포구,당인동,  2 ,  - ,  - ,  - ,  1 ,  1 ,  - ,  - ,  - 
서울특별시,마포구,대흥동,  26 ,  4 ,  1 ,  6 ,  5 ,  3 ,  2 ,  4 ,  1 
서울특별시,마포구,도화동,  13 ,  1 ,  4 ,  1 ,  2 ,  1 ,  - ,  3 ,  1 
서울특별시,마포구,동교동,  10 ,  2 ,  - ,  - ,  5 ,  - ,  - ,  3 ,  - 
서울특별시,마포구,마포동,  6 ,  1 ,  1 ,  - ,  1 ,  1 ,  - ,  2 ,  - 
서울특별시,마포구,망원동,  43 ,  7 ,  6 ,  5 ,  5 ,  4 ,  2 ,  12 ,  2 
서울특별시,마포구,상수동,  31 ,  5 ,  2 ,  3 ,  2 ,  1 ,  6 ,  10 ,  2 
서울특별시,마포구,상암동,  45 ,  26 ,  12 ,  5 ,  - ,  1 ,  - ,  - ,  1 
서울특별시,마포구,서교동,  42 ,  4 ,  5 ,  2 ,  8 ,  10 ,  2 ,  5 ,  6 
서울특별시,마포구,성산동,  86 ,  21 ,  20 ,  10 ,  11 ,  1 ,  3 ,  13 ,  7 
서울특별시,마포구,신공덕동,  5 ,  2 ,  1 ,  1 ,  - ,  - ,  - ,  1 ,  - 
서울특별시,마포구,신수동,  51 ,  10 ,  3 ,  9 ,  1 ,  5 ,  2 ,  14 ,  7 
서울특별시,마포구,신정동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,아현동,  53 ,  12 ,  1 ,  1 ,  1 ,  4 ,  1 ,  12 ,  21 
서울특별시,마포구,연남동,  31 ,  5 ,  2 ,  1 ,  3 ,  4 ,  - ,  16 ,  - 
서울특별시,마포구,염리동,  34 ,  5 ,  2 ,  5 ,  1 ,  2 ,  2 ,  11 ,  6 
서울특별시,마포구,용강동,  7 ,  3 ,  1 ,  1 ,  - ,  - ,  - ,  2 ,  - 
서울특별시,마포구,중동,  9 ,  - ,  - ,  1 ,  - ,  2 ,  1 ,  2 ,  3 
서울특별시,마포구,창전동,  21 ,  1 ,  7 ,  4 ,  1 ,  5 ,  1 ,  - ,  2 
서울특별시,마포구,토정동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,하중동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,합정동,  29 ,  4 ,  5 ,  2 ,  4 ,  2 ,  2 ,  5 ,  5 
서울특별시,마포구,현석동,  3 ,  2 ,  - ,  1 ,  - ,  - ,  - ,  - ,  - 
서울특별시,서대문구,남가좌동,  45 ,  9 ,  4 ,  7 ,  9 ,  3 ,  3 ,  9 ,  1 
서울특별시,서대문구,냉천동,  12 ,  1 ,  2 ,  3 ,  - ,  - ,  - ,  6 ,  - 
서울특별시,서대문구,대신동,  20 ,  3 ,  2 ,  3 ,  2 ,  1 ,  1 ,  8 ,  - 
서울특별시,서대문구,대현동,  77 ,  15 ,  8 ,  5 ,  14 ,  3 ,  8 ,  23 ,  1 
서울특별시,서대문구,미근동,  3 ,  - ,  1 ,  1 ,  - ,  - ,  1 ,  - ,  - 
서울특별시,서대문구,봉원동,  2 ,  - ,  - ,  - ,  1 ,  - ,  - ,  1 ,  - 
서울특별시,서대문구,북가좌동,  44 ,  10 ,  5 ,  4 ,  6 ,  1 ,  3 ,  15 ,  - 
서울특별시,서대문구,북아현동,  50 ,  8 ,  5 ,  4 ,  4 ,  6 ,  3 ,  19 ,  1 
서울특별시,서대문구,신촌동,  91 ,  19 ,  - ,  8 ,  15 ,  3 ,  6 ,  33 ,  7 
서울특별시,서대문구,연희동,  109 ,  15 ,  12 ,  10 ,  19 ,  11 ,  11 ,  29 ,  2 
서울특별시,서대문구,영천동,  4 ,  - ,  - ,  1 ,  2 ,  - ,  - ,  1 ,  - 
서울특별시,서대문구,옥천동,  1 ,  - ,  1 ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,서대문구,창천동,  30 ,  5 ,  3 ,  2 ,  4 ,  3 ,  4 ,  8 ,  1 
서울특별시,서대문구,천연동,  13 ,  1 ,  2 ,  4 ,  1 ,  2 ,  - ,  1 ,  2 
서울특별시,서대문구,충정로2가,  14 ,  2 ,  1 ,  3 ,  1 ,  2 ,  - ,  4 ,  1 
서울특별시,서대문구,충정로3가,  13 ,  2 ,  2 ,  1 ,  1 ,  - ,  1 ,  5 ,  1 
서울특별시,서대문구,합동,  2 ,  - ,  1 ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,서대문구,현저동,  27 ,  4 ,  3 ,  1 ,  7 ,  1 ,  1 ,  - ,  10 
서울특별시,서대문구,홍은동,  79 ,  19 ,  13 ,  7 ,  10 ,  7 ,  4 ,  18 ,  1 
서울특별시,서대문구,홍제동,  85 ,  9 ,  12 ,  12 ,  18 ,  8 ,  6 ,  16 ,  4 
서울특별시,서초구,내곡동,  21 ,  8 ,  - ,  5 ,  2 ,  1 ,  2 ,  1 ,  2 
서울특별시,서초구,반포동,  90 ,  14 ,  13 ,  9 ,  19 ,  17 ,  4 ,  13 ,  1 
서울특별시,서초구,방배동,  121 ,  9 ,  13 ,  11 ,  27 ,  16 ,  20 ,  24 ,  1 
서울특별시,서초구,서초동,  192 ,  23 ,  20 ,  24 ,  27 ,  28 ,  14 ,  21 ,  35 
서울특별시,서초구,신원동,  5 ,  3 ,  - ,  - ,  - ,  - ,  1 ,  1 ,  - 
서울특별시,서초구,양재동,  61 ,  3 ,  13 ,  8 ,  16 ,  13 ,  4 ,  3 ,  1 
서울특별시,서초구,염곡동,  16 ,  2 ,  1 ,  3 ,  4 ,  1 ,  - ,  4 ,  1 
서울특별시,서초구,우면동,  36 ,  14 ,  2 ,  3 ,  11 ,  3 ,  2 ,  1 ,  - 
서울특별시,서초구,원지동,  6 ,  1 ,  1 ,  1 ,  1 ,  - ,  - ,  2 ,  - 
서울특별시,서초구,잠원동,  31 ,  1 ,  4 ,  2 ,  8 ,  6 ,  2 ,  7 ,  1 
서울특별시,성동구,금호동1가,  16 ,  3 ,  3 ,  4 ,  1 ,  1 ,  - ,  4 ,  - 
