,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,동작구,대방동,  329 ,  52 ,  32 ,  26 ,  62 ,  35 ,  35 ,  74 ,  13 
서울특별시,동작구,동작동,  23 ,  5 ,  4 ,  1 ,  2 ,  1 ,  3 ,  7 ,  - 
서울특별시,동작구,본동,  152 ,  7 ,  9 ,  7 ,  4 ,  10 ,  25 ,  50 ,  40 
서울특별시,동작구,사당동,  925 ,  83 ,  68 ,  64 ,  159 ,  150 ,  102 ,  295 ,  4 
서울특별시,동작구,상도1동,  205 ,  48 ,  31 ,  13 ,  17 ,  20 ,  20 ,  48 ,  8 
서울특별시,동작구,상도동,  843 ,  81 ,  103 ,  50 ,  144 ,  98 ,  102 ,  249 ,  16 
서울특별시,동작구,신대방동,  329 ,  21 ,  30 ,  16 ,  44 ,  55 ,  41 ,  110 ,  12 
서울특별시,동작구,흑석동,  409 ,  9 ,  16 ,  9 ,  49 ,  31 ,  28 ,  178 ,  89 
서울특별시,마포구,공덕동,  411 ,  21 ,  32 ,  27 ,  43 ,  30 ,  28 ,  151 ,  79 
서울특별시,마포구,구수동,  36 ,  3 ,  6 ,  1 ,  1 ,  8 ,  8 ,  9 ,  - 
서울특별시,마포구,노고산동,  299 ,  20 ,  29 ,  22 ,  36 ,  52 ,  33 ,  84 ,  23 
서울특별시,마포구,당인동,  10 ,  - ,  1 ,  - ,  4 ,  3 ,  - ,  2 ,  - 
서울특별시,마포구,대흥동,  332 ,  15 ,  23 ,  27 ,  46 ,  51 ,  35 ,  124 ,  11 
서울특별시,마포구,도화동,  248 ,  19 ,  22 ,  9 ,  23 ,  26 ,  28 ,  100 ,  21 
서울특별시,마포구,동교동,  502 ,  59 ,  67 ,  33 ,  72 ,  87 ,  58 ,  124 ,  2 
서울특별시,마포구,마포동,  73 ,  2 ,  3 ,  5 ,  3 ,  10 ,  7 ,  33 ,  10 
서울특별시,마포구,망원동,  461 ,  38 ,  43 ,  25 ,  58 ,  90 ,  70 ,  129 ,  8 
서울특별시,마포구,상수동,  257 ,  54 ,  32 ,  13 ,  24 ,  24 ,  8 ,  101 ,  1 
서울특별시,마포구,상암동,  215 ,  71 ,  33 ,  19 ,  41 ,  11 ,  4 ,  31 ,  5 
서울특별시,마포구,서교동,"  1,376 ",  184 ,  176 ,  90 ,  231 ,  259 ,  105 ,  319 ,  12 
서울특별시,마포구,성산동,  457 ,  50 ,  63 ,  39 ,  69 ,  87 ,  44 ,  103 ,  2 
서울특별시,마포구,신공덕동,  82 ,  11 ,  9 ,  11 ,  13 ,  6 ,  7 ,  21 ,  4 
서울특별시,마포구,신수동,  227 ,  23 ,  29 ,  17 ,  25 ,  25 ,  20 ,  76 ,  12 
서울특별시,마포구,신정동,  13 ,  1 ,  1 ,  3 ,  2 ,  - ,  1 ,  1 ,  4 
서울특별시,마포구,아현동,  298 ,  12 ,  9 ,  6 ,  21 ,  33 ,  30 ,  111 ,  76 
서울특별시,마포구,연남동,  332 ,  43 ,  24 ,  17 ,  37 ,  70 ,  34 ,  104 ,  3 
서울특별시,마포구,염리동,  184 ,  1 ,  6 ,  9 ,  36 ,  26 ,  30 ,  65 ,  11 
서울특별시,마포구,용강동,  151 ,  14 ,  12 ,  3 ,  17 ,  17 ,  26 ,  54 ,  8 
서울특별시,마포구,중동,  36 ,  1 ,  2 ,  10 ,  3 ,  8 ,  3 ,  9 ,  - 
서울특별시,마포구,창전동,  168 ,  19 ,  19 ,  18 ,  15 ,  20 ,  16 ,  54 ,  7 
서울특별시,마포구,토정동,  13 ,  - ,  - ,  1 ,  4 ,  - ,  1 ,  6 ,  1 
서울특별시,마포구,하중동,  5 ,  1 ,  - ,  1 ,  - ,  1 ,  - ,  2 ,  - 
